Player,Age,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points,League
Precious Achiuwa,24,74,487,97,46,68,83,565,NBA
Bam Adebayo,26,71,737,278,81,66,162,1367,NBA
Ochai Agbaji,23,78,216,83,47,44,64,455,NBA
Santi Aldama,23,61,352,138,43,54,69,654,NBA
Nickeil Alexander-Walker,25,82,167,204,64,42,76,655,NBA
Grayson Allen,28,75,295,227,69,45,95,1014,NBA
Jarrett Allen,25,77,811,210,53,81,121,1271,NBA
Timmy Allen,24,5,17,5,4,0,2,13,NBA
Jose Alvarado,25,56,128,117,59,15,40,397,NBA
Kyle Anderson,30,79,273,331,71,47,91,506,NBA
Giannis Antetokounmpo,29,73,841,476,87,79,250,2222,NBA
Thanasis Antetokounmpo,31,34,13,17,7,4,14,32,NBA
Cole Anthony,23,81,311,236,64,37,126,937,NBA
OG Anunoby,26,50,208,107,68,36,81,733,NBA
Ryan Arcidiacono,29,20,8,4,2,0,2,0,NBA
Deni Avdija,23,75,540,286,60,36,160,1102,NBA
Deandre Ayton,25,55,609,90,56,42,99,920,NBA
Udoka Azubuike,24,16,32,3,1,6,4,35,NBA
Ibou Badji,21,22,51,13,3,20,15,34,NBA
Marvin Bagley III,24,50,312,55,20,33,59,583,NBA
Amari Bailey,19,10,9,7,3,0,4,23,NBA
Patrick Baldwin Jr.,21,38,123,29,18,15,19,168,NBA
LaMelo Ball,22,22,113,176,40,4,83,526,NBA
Mo Bamba,25,57,238,41,22,60,39,253,NBA
Paolo Banchero,21,80,554,431,71,47,247,1804,NBA
Desmond Bane,25,42,185,230,43,22,112,997,NBA
Dalano Banton,24,54,178,127,33,20,77,557,NBA
Dominick Barlow,20,33,113,36,12,14,9,144,NBA
Harrison Barnes,31,82,249,99,54,12,58,1000,NBA
Scottie Barnes,22,60,494,363,75,88,165,1191,NBA
RJ Barrett,23,58,315,193,31,22,126,1170,NBA
Charles Bassey,23,19,76,21,8,17,15,63,NBA
Emoni Bates,20,15,14,10,1,2,8,41,NBA
Keita Bates-Diop,28,53,110,38,25,22,15,197,NBA
Nicolas Batum,35,60,248,128,48,38,40,320,NBA
Darius Bazley,23,9,28,7,6,7,8,48,NBA
Bradley Beal,30,53,232,265,52,27,131,964,NBA
Malik Beasley,27,79,290,108,59,9,54,889,NBA
MarJon Beauchamp,23,48,99,31,13,7,27,211,NBA
Jules Bernard,24,19,26,16,3,1,8,74,NBA
Dāvis Bertāns,31,43,61,35,26,12,18,290,NBA
Patrick Beverley,35,73,239,212,43,31,65,451,NBA
Saddiq Bey,24,63,411,92,51,11,54,863,NBA
Goga Bitadze,24,62,286,79,32,72,44,311,NBA
Onuralp Bitim,24,23,32,13,3,2,10,80,NBA
Bismack Biyombo,31,40,209,53,11,37,42,174,NBA
Anthony Black,20,69,139,91,35,21,56,316,NBA
Leaky Black,24,26,48,24,8,11,6,69,NBA
Buddy Boeheim,24,10,10,3,0,1,0,34,NBA
Bogdan Bogdanović,31,79,272,247,96,26,112,1333,NBA
Bojan Bogdanović,34,57,152,97,30,5,101,868,NBA
Bol Bol,24,43,137,17,10,25,19,223,NBA
Marques Bolden,25,11,34,4,3,7,3,37,NBA
Devin Booker,27,68,308,472,61,28,178,1841,NBA
Brandon Boston Jr.,22,32,52,13,11,8,24,167,NBA
Chris Boucher,31,50,207,23,14,24,28,322,NBA
James Bouknight,23,14,9,6,1,1,2,50,NBA
Jamaree Bouyea,24,9,19,11,1,0,9,21,NBA
Malaki Branham,20,75,148,156,27,8,91,690,NBA
Christian Braun,22,82,306,132,42,35,55,600,NBA
Mikal Bridges,27,82,372,299,81,30,164,1606,NBA
Miles Bridges,25,69,505,231,65,33,138,1449,NBA
Oshae Brissett,25,55,160,44,19,8,20,201,NBA
Izaiah Brockington,24,1,2,0,0,0,0,4,NBA
Malcolm Brogdon,31,39,148,214,27,8,60,613,NBA
Armoni Brooks,25,10,18,5,1,1,3,42,NBA
Dillon Brooks,28,72,246,119,64,10,88,915,NBA
Bruce Brown,27,67,284,192,59,17,86,726,NBA
Charlie Brown Jr.,26,8,2,0,0,2,2,6,NBA
Greg Brown III,22,6,9,4,0,4,4,15,NBA
Jaylen Brown,27,70,387,249,83,37,166,1610,NBA
Kendall Brown,20,15,5,5,0,0,2,21,NBA
Kobe Brown,24,44,62,25,12,6,9,89,NBA
Moses Brown,24,22,86,7,5,7,11,75,NBA
Troy Brown Jr.,24,59,144,60,24,3,30,247,NBA
Jalen Brunson,27,77,278,519,70,13,186,2212,NBA
Thomas Bryant,26,38,141,23,10,16,21,217,NBA
Kobe Bufkin,20,17,33,27,7,5,10,81,NBA
Reggie Bullock,32,44,73,15,12,5,10,96,NBA
Alec Burks,32,66,150,88,28,12,48,689,NBA
Jared Butler,23,40,58,126,29,8,50,251,NBA
Jimmy Butler,34,60,318,298,79,17,102,1246,NBA
Jamal Cain,24,26,37,10,10,5,8,97,NBA
Kentavious Caldwell-Pope,30,76,183,183,98,42,75,766,NBA
Toumani Camara,23,70,343,87,66,33,84,527,NBA
Clint Capela,29,73,776,91,43,106,74,836,NBA
Jevon Carter,28,72,60,94,37,16,36,357,NBA
Wendell Carter Jr.,24,55,381,95,35,28,68,603,NBA
D.J. Carton,23,4,4,3,1,0,1,11,NBA
Alex Caruso,29,71,273,247,120,70,102,715,NBA
Colin Castleton,23,16,12,3,2,0,3,24,NBA
Malcolm Cazalon,22,1,0,0,0,0,0,0,NBA
Julian Champagnie,22,74,206,103,48,42,57,504,NBA
Justin Champagnie,22,15,53,19,10,9,10,89,NBA
Max Christie,20,67,142,60,20,17,35,284,NBA
Sidy Cissoko,19,12,22,10,7,3,3,45,NBA
Brandon Clarke,27,6,32,9,5,6,3,68,NBA
Jordan Clarkson,31,55,188,277,35,6,146,942,NBA
Nic Claxton,24,71,706,147,46,146,93,841,NBA
Noah Clowney,19,23,81,18,8,16,15,133,NBA
Amir Coffey,26,70,148,76,41,14,33,463,NBA
John Collins,26,68,575,77,40,61,98,1027,NBA
Zach Collins,26,69,370,194,34,52,132,776,NBA
Mike Conley,36,76,218,449,88,17,102,869,NBA
Pat Connaughton,31,76,239,161,40,19,49,428,NBA
Bilal Coulibaly,19,63,256,110,57,48,87,532,NBA
Ricky Council IV,22,32,46,16,8,1,5,173,NBA
Robert Covington,33,29,97,24,39,18,11,127,NBA
Torrey Craig,33,53,217,58,30,21,32,303,NBA
Jae Crowder,33,50,161,66,38,9,23,312,NBA
Jalen Crutcher,24,1,0,0,0,0,0,0,NBA
Cade Cunningham,22,62,268,464,56,22,212,1405,NBA
Seth Curry,33,44,68,44,22,6,21,226,NBA
Stephen Curry,35,74,330,379,54,28,210,1956,NBA
Dyson Daniels,20,61,236,164,85,25,59,354,NBA
Anthony Davis,30,76,961,266,91,178,159,1876,NBA
Johnny Davis,21,50,72,32,18,10,13,152,NBA
JD Davison,21,8,10,10,1,1,2,16,NBA
Dexter Dennis,24,4,9,4,0,1,3,22,NBA
DeMar DeRozan,34,79,340,421,90,45,135,1897,NBA
Moussa Diabaté,22,11,24,4,5,1,2,29,NBA
Mamadi Diakite,27,6,4,2,1,1,1,12,NBA
Hamidou Diallo,25,2,2,1,2,0,1,2,NBA
Gradey Dick,20,60,132,68,34,2,50,510,NBA
Ousmane Dieng,20,33,51,37,8,5,19,133,NBA
Spencer Dinwiddie,30,76,205,356,51,22,91,795,NBA
Donte DiVincenzo,27,81,297,216,107,36,113,1259,NBA
Luka Dončić,24,70,647,686,99,38,282,2370,NBA
Luguentz Dort,24,79,284,113,72,47,74,860,NBA
Ayo Dosunmu,24,76,216,242,68,36,103,924,NBA
Jeff Dowtin,26,12,20,27,7,1,5,52,NBA
Henri Drell,23,4,4,4,2,1,2,11,NBA
Andre Drummond,30,79,708,37,73,48,81,663,NBA
Chris Duarte,26,59,106,44,28,8,26,230,NBA
David Duke Jr.,24,4,10,5,2,0,3,26,NBA
Kris Dunn,29,66,189,254,68,28,79,357,NBA
Kevin Durant,35,75,495,378,69,91,244,2032,NBA
Jalen Duren,20,61,709,147,33,47,129,841,NBA
Tari Eason,22,22,153,27,31,19,20,215,NBA
Anthony Edwards,22,79,430,405,101,42,241,2049,NBA
Kessler Edwards,23,54,42,15,10,4,4,93,NBA
Keon Ellis,24,57,124,85,51,29,37,310,NBA
Joel Embiid,29,39,430,219,46,66,150,1353,NBA
Drew Eubanks,26,75,322,63,27,61,61,379,NBA
Tosan Evbuomwan,22,17,60,16,6,5,9,101,NBA
Dante Exum,28,55,149,157,22,5,49,428,NBA
Bruno Fernando,25,45,193,46,25,28,44,282,NBA
Dorian Finney-Smith,30,68,317,107,56,38,59,580,NBA
Adam Flagler,24,2,0,4,0,0,0,3,NBA
Malachi Flynn,25,69,114,130,38,8,63,380,NBA
Simone Fontecchio,28,66,246,101,44,23,68,692,NBA
Jordan Ford,25,6,2,2,0,0,1,12,NBA
Trent Forrest,25,38,51,92,11,3,20,83,NBA
Evan Fournier,31,32,58,48,29,7,21,220,NBA
De'Aaron Fox,26,74,340,418,150,31,194,1966,NBA
Javon Freeman-Liberty,24,22,70,40,10,4,25,153,NBA
Alex Fudge,20,6,5,0,3,0,2,15,NBA
Markelle Fultz,25,43,138,120,42,15,50,335,NBA
Andrew Funk,24,5,0,0,1,1,0,0,NBA
Wenyen Gabriel,26,5,25,3,2,2,8,17,NBA
Daniel Gafford,25,74,562,115,65,153,74,814,NBA
Danilo Gallinari,35,49,108,55,14,6,23,280,NBA
Darius Garland,24,57,152,373,74,7,176,1028,NBA
Usman Garuba,21,6,7,1,1,3,2,3,NBA
Luka Garza,25,25,31,4,4,1,6,99,NBA
Kaiser Gates,27,1,1,0,0,0,0,0,NBA
Keyonte George,20,75,211,332,36,7,188,974,NBA
Paul George,33,74,388,262,113,37,153,1671,NBA
Taj Gibson,38,20,37,11,3,7,5,34,NBA
Josh Giddey,21,80,514,386,51,44,168,986,NBA
Harry Giles,25,23,30,6,2,3,6,56,NBA
Shai Gilgeous-Alexander,25,75,415,465,150,67,162,2254,NBA
Anthony Gill,31,50,94,34,13,11,23,189,NBA
Collin Gillespie,24,24,21,27,13,0,14,87,NBA
Jacob Gilyard,25,41,46,137,33,5,30,173,NBA
Rudy Gobert,31,76,982,102,52,162,118,1061,NBA
Jordan Goodwin,25,57,253,155,48,18,56,368,NBA
Aaron Gordon,28,73,471,259,56,45,105,1013,NBA
Eric Gordon,35,68,122,139,66,30,73,749,NBA
Devonte' Graham,28,23,36,49,9,2,17,114,NBA
Jerami Grant,29,54,191,152,45,34,116,1132,NBA
RaiQuan Gray,24,3,7,6,1,1,1,23,NBA
A.J. Green,24,56,64,30,9,4,12,252,NBA
Danny Green,36,2,2,1,1,0,0,0,NBA
Draymond Green,33,55,398,332,55,47,135,475,NBA
Jalen Green,21,82,423,291,66,28,191,1610,NBA
Javonte Green,30,9,67,5,10,8,7,110,NBA
